name,sector,amount_raised,giants,no_budget,competition,poor_market_fit,acquisition_stagnation,platform_dependency,monetization_failure,niche_limits,execution_flaws,trend_shifts,trust_issue,regulatory_pressure,overhype,start_year,end_year
Airy Labs,Information,1.5,0,0,1,1,0,0,0,0,0,0,1,0,0,2010,2012
Ask Jeeves,Information,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1996,2007
Bebo,Information,12.8,1,1,1,0,0,0,0,0,0,0,1,0,0,2005,2019
Burbn,Information,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,2010,2012
Canvas,Information,9,0,1,1,0,1,0,0,0,0,0,0,0,0,2011,2017
Change.org,Information,50,1,0,0,0,0,0,0,1,0,0,0,0,0,2007,2022
Chirp,Information,1.8,1,1,0,0,0,1,0,0,0,1,0,0,0,2011,2016
Cloudera,Information,300,1,1,1,0,1,0,0,0,0,0,0,0,0,2008,2023
Cocoon,Information,3,0,1,1,0,1,0,0,0,0,0,0,0,1,2018,2022
Codeacademy,Information,42.5,0,1,0,0,1,0,1,0,1,0,0,0,0,2011,2022
CollabFinder,Information,0.75,0,1,1,1,1,0,0,0,0,1,0,0,0,2011,2018
Color Labs,Information,41,1,1,1,0,1,1,1,0,0,0,0,0,0,2011,2014
Connect,Information,10,1,1,0,0,0,0,1,0,0,0,0,1,0,2010,2016
Coub,Information,1,0,1,0,1,0,0,0,1,0,0,1,0,0,2012,2021
Domo,Information,690,0,1,1,0,1,0,0,0,0,0,0,0,0,2010,2023
Digg,Information,45,0,0,0,1,0,0,0,0,0,1,0,0,0,2004,2018
Drifty,Information,4.2,1,0,0,1,0,0,0,1,0,0,0,0,0,2012,2019
Dropbox Paper,Information,1.7,1,1,0,1,0,0,0,0,0,0,0,0,0,2015,2021
Evernote,Information,290,0,1,0,1,0,1,0,0,0,1,0,0,0,2004,2019
Exec,Information,3.3,1,0,1,1,0,0,0,0,0,0,0,0,0,2012,2015
EyeEm,Information,24,1,1,0,1,0,0,0,0,0,0,0,0,0,2011,2023
Factual,Information,104,0,1,0,1,0,1,0,0,0,0,0,0,0,2008,2022
Formspring,Information,14,0,1,0,0,0,0,0,0,0,0,0,1,0,2009,2016
Foursquare Swarm,Information,162,1,1,0,1,0,0,0,0,0,0,1,0,0,2014,2021
Friendster,Information,48.5,1,1,0,1,0,0,0,0,0,1,0,0,0,2002,2014
GeoCities,Information,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1994,2005
GetGlue,Information,24,0,1,1,0,1,0,1,0,0,0,0,1,0,2008,2016
